Name,Trace_id,Point_id,Start_x,Start_y,Start_z,End_x,End_y,End_z,Cost,Cost_Mode
measurements.Trace,14,0,-13.6517,1.08114,-39.3013,-13.6517,1.08114,-39.3013,239,4
measurements.Trace,14,1,-13.6517,1.08114,-39.3013,-13.5973,1.11179,-39.3273,175,4
measurements.Trace,14,2,-13.5973,1.11179,-39.3273,-13.5578,1.08482,-39.3282,12,4
measurements.Trace,14,3,-13.5578,1.08482,-39.3282,-13.5159,1.09133,-39.3635,40,4
measurements.Trace,14,4,-13.5159,1.09133,-39.3635,-13.495,1.07191,-39.3844,33,4
measurements.Trace,14,5,-13.495,1.07191,-39.3844,-13.4453,1.0285,-39.3869,25,4
measurements.Trace,14,6,-13.4453,1.0285,-39.3869,-13.4561,1.00597,-39.3417,17,4
measurements.Trace,14,7,-13.4561,1.00597,-39.3417,-13.4184,0.962838,-39.3057,21,4
measurements.Trace,14,8,-13.4184,0.962838,-39.3057,-13.3617,0.938354,-39.2803,26,4
measurements.Trace,14,9,-13.3617,0.938354,-39.2803,-13.3278,0.893399,-39.2498,44,4
measurements.Trace,14,10,-13.3278,0.893399,-39.2498,-13.2849,0.867563,-39.2404,66,4
measurements.Trace,14,11,-13.2849,0.867563,-39.2404,-13.2336,0.850615,-39.2095,26,4
measurements.Trace,14,12,-13.2336,0.850615,-39.2095,-13.2215,0.828712,-39.2019,29,4
measurements.Trace,14,13,-13.2215,0.828712,-39.2019,-13.2128,0.784039,-39.1584,54,4
measurements.Trace,14,14,-13.2128,0.784039,-39.1584,-13.1774,0.745693,-39.1267,76,4
measurements.Trace,14,15,-13.1774,0.745693,-39.1267,-13.1505,0.701665,-39.0916,77,4
measurements.Trace,14,16,-13.1505,0.701665,-39.0916,-13.1306,0.671323,-39.0649,54,4
measurements.Trace,14,17,-13.1306,0.671323,-39.0649,-13.1204,0.642131,-39.0536,16,4
measurements.Trace,14,18,-13.1204,0.642131,-39.0536,-13.0799,0.604439,-39.0559,52,4
measurements.Trace,14,19,-13.0799,0.604439,-39.0559,-13.0806,0.548837,-39.0196,155,4
measurements.Trace,14,20,-13.0806,0.548837,-39.0196,-13.0204,0.518399,-39.0293,22,4
measurements.Trace,14,21,-13.0204,0.518399,-39.0293,-12.9751,0.491662,-38.9953,50,4
measurements.Trace,14,22,-12.9751,0.491662,-38.9953,-12.9513,0.447175,-38.9752,36,4
measurements.Trace,14,23,-12.9513,0.447175,-38.9752,-12.9468,0.396115,-38.9526,73,4
measurements.Trace,14,24,-12.9468,0.396115,-38.9526,-12.8858,0.370925,-38.9516,188,4
measurements.Trace,14,25,-12.8858,0.370925,-38.9516,-12.8679,0.329408,-38.9414,109,4
measurements.Trace,14,26,-12.8679,0.329408,-38.9414,-12.8319,0.275776,-38.9267,100,4
measurements.Trace,14,27,-12.8319,0.275776,-38.9267,-12.7993,0.221006,-38.9222,33,4
measurements.Trace,14,28,-12.7993,0.221006,-38.9222,-12.7935,0.201392,-38.9197,40,4
measurements.Trace,14,29,-12.7935,0.201392,-38.9197,-12.7621,0.153452,-38.934,71,4
measurements.Trace,14,30,-12.7621,0.153452,-38.934,-12.7229,0.105945,-38.9624,133,4
measurements.Trace,14,31,-12.7229,0.105945,-38.9624,-12.6966,0.066222,-38.9759,127,4
measurements.Trace,14,32,-12.6966,0.066222,-38.9759,-12.6603,0.022143,-38.9991,16,4
measurements.Trace,14,33,-12.6603,0.022143,-38.9991,-12.6219,0.034609,-38.9995,27,4
measurements.Trace,14,34,-12.6219,0.034609,-38.9995,-12.5633,0.017414,-38.9779,118,4
measurements.Trace,14,35,-12.5633,0.017414,-38.9779,-12.5443,-0.030934,-38.9489,72,4
measurements.Trace,14,36,-12.5443,-0.030934,-38.9489,-12.5449,-0.08087,-38.9708,107,4
measurements.Trace,14,37,-12.5449,-0.08087,-38.9708,-12.5256,-0.132424,-38.9668,35,4
measurements.Trace,14,38,-12.5256,-0.132424,-38.9668,-12.4974,-0.186489,-38.9379,66,4
measurements.Trace,14,39,-12.4974,-0.186489,-38.9379,-12.4638,-0.232125,-38.9026,65,4
measurements.Trace,14,40,-12.4638,-0.232125,-38.9026,-12.4332,-0.241723,-38.8426,13,4
measurements.Trace,14,41,-12.4332,-0.241723,-38.8426,-12.4334,-0.303737,-38.8564,27,4
measurements.Trace,14,42,-12.4334,-0.303737,-38.8564,-12.3966,-0.31951,-38.8116,59,4
measurements.Trace,14,43,-12.3966,-0.31951,-38.8116,-12.3798,-0.363069,-38.787,30,4
measurements.Trace,14,44,-12.3798,-0.363069,-38.787,-12.3616,-0.384055,-38.7493,27,4
measurements.Trace,14,45,-12.3616,-0.384055,-38.7493,-12.34,-0.436511,-38.7207,36,4
measurements.Trace,14,46,-12.34,-0.436511,-38.7207,-12.312,-0.442,-38.6604,56,4
measurements.Trace,14,47,-12.312,-0.442,-38.6604,-12.2654,-0.478774,-38.6326,53,4
measurements.Trace,14,48,-12.2654,-0.478774,-38.6326,-12.2201,-0.505512,-38.5986,82,4
measurements.Trace,14,49,-12.2201,-0.505512,-38.5986,-12.1634,-0.529996,-38.5733,42,4
measurements.Trace,14,50,-12.1634,-0.529996,-38.5733,-12.1621,-0.552791,-38.5666,34,4
measurements.Trace,14,51,-12.1621,-0.552791,-38.5666,-12.16,-0.602949,-38.5686,37,4
measurements.Trace,14,52,-12.16,-0.602949,-38.5686,-12.1059,-0.627212,-38.5631,44,4
measurements.Trace,14,53,-12.1059,-0.627212,-38.5631,-12.0789,-0.678333,-38.5733,111,4
measurements.Trace,14,54,-12.0789,-0.678333,-38.5733,-12.0258,-0.720602,-38.5655,80,4
measurements.Trace,14,55,-12.0258,-0.720602,-38.5655,-12.0089,-0.784012,-38.5732,94,4
measurements.Trace,14,56,-12.0089,-0.784012,-38.5732,-12.0062,-0.845568,-38.5719,55,4
measurements.Trace,14,57,-12.0062,-0.845568,-38.5719,-11.9554,-0.867083,-38.5565,56,4
measurements.Trace,14,58,-11.9554,-0.867083,-38.5565,-11.9267,-0.907708,-38.5453,74,4
measurements.Trace,14,59,-11.9267,-0.907708,-38.5453,-11.9202,-0.967444,-38.5386,64,4
measurements.Trace,14,60,-11.9202,-0.967444,-38.5386,-11.8776,-0.993959,-38.5244,57,4
measurements.Trace,14,61,-11.8776,-0.993959,-38.5244,-11.8366,-1.02708,-38.5113,66,4
measurements.Trace,14,62,-11.8366,-1.02708,-38.5113,-11.801,-1.0814,-38.4918,26,4
measurements.Trace,14,63,-11.801,-1.0814,-38.4918,-11.7622,-1.10973,-38.4831,52,4
measurements.Trace,14,64,-11.7622,-1.10973,-38.4831,-11.7442,-1.16721,-38.485,107,4
measurements.Trace,14,65,-11.7442,-1.16721,-38.485,-11.7174,-1.21513,-38.4701,105,4
measurements.Trace,14,66,-11.7174,-1.21513,-38.4701,-11.6684,-1.2599,-38.463,105,4
measurements.Trace,14,67,-11.6684,-1.2599,-38.463,-11.6312,-1.3076,-38.4424,102,4
measurements.Trace,14,68,-11.6312,-1.3076,-38.4424,-11.6055,-1.35756,-38.4132,79,4
measurements.Trace,14,69,-11.6055,-1.35756,-38.4132,-11.6073,-1.40244,-38.3754,56,4
measurements.Trace,14,70,-11.6073,-1.40244,-38.3754,-11.5791,-1.41502,-38.3603,18,4
measurements.Trace,14,71,-11.5791,-1.41502,-38.3603,-11.5309,-1.44519,-38.3315,90,4
measurements.Trace,14,72,-11.5309,-1.44519,-38.3315,-11.4823,-1.49064,-38.3196,50,4
measurements.Trace,14,73,-11.4823,-1.49064,-38.3196,-11.4267,-1.47568,-38.2937,23,4
measurements.Trace,14,74,-11.4267,-1.47568,-38.2937,-11.4091,-1.51788,-38.2787,39,4
measurements.Trace,14,75,-11.4091,-1.51788,-38.2787,-11.3695,-1.57358,-38.2787,74,4
measurements.Trace,14,76,-11.3695,-1.57358,-38.2787,-11.3433,-1.62606,-38.2793,99,4
